0,1,2,3,X3,scaefer7,schaefer17
1,0,0,0,109.5,1,1
1,0,0,0,53.5,1,1
1,0,0,0,64,1,1
1,0,0,0,24,1,1
1,0,0,0,60,1,1
1,0,0,0,94,1,1
1,0,0,0,8,1,1
1,0,0,0,91.5,1,1
1,0,0,0,76.5,1,1
0,1,0,0,139,1,1
1,0,0,0,9,1,1
1,0,0,0,87,1,1
1,0,0,0,75,1,2
1,0,0,0,28,1,2
1,0,0,0,22,1,2
1,0,0,0,73,1,2
1,0,0,0,44,1,2
1,0,0,0,3,1,2
1,0,0,0,1,1,2
1,0,0,0,12,1,2
1,0,0,0,16,1,2
1,0,0,0,29.5,1,2
1,0,0,0,36,1,2
1,0,0,0,58,1,2
1,0,0,0,88,2,3
1,0,0,0,38,2,3
1,0,0,0,17,2,3
1,0,0,0,68,2,3
1,0,0,0,14,2,3
1,0,0,0,55,2,3
1,0,0,0,42,2,3
1,0,0,0,118.5,2,3
1,0,0,0,34,2,3
1,0,0,0,13,2,3
1,0,0,0,51,2,3
1,0,0,0,91.5,2,3
1,0,0,0,18,2,3
1,0,0,0,47,2,3
1,0,0,0,19,2,3
1,0,0,0,66,2,3
1,0,0,0,11,2,3
1,0,0,0,39,2,3
1,0,0,0,27,2,3
0,1,0,0,189,2,4
1,0,0,0,100,2,4
0,1,0,0,177,2,4
0,1,0,0,170,2,4
1,0,0,0,82,2,4
0,1,0,0,172,2,4
1,0,0,0,127,2,4
1,0,0,0,70,2,4
0,1,0,0,154,2,4
1,0,0,0,107,2,4
0,1,0,0,148,2,4
1,0,0,0,78,2,4
1,0,0,0,84,2,4
1,0,0,0,41,2,4
1,0,0,0,112,2,4
1,0,0,0,59,2,4
0,1,0,0,250,3,5
0,1,0,0,182,3,5
0,1,0,0,262,3,5
0,1,0,0,135,3,5
1,0,0,0,121,3,5
0,1,0,0,136,3,5
1,0,0,0,93,3,5
1,0,0,0,81,3,5
0,1,0,0,153,3,5
0,1,0,0,179,3,5
0,1,0,0,162,3,5
1,0,0,0,106,3,5
1,0,0,0,129.5,3,5
0,1,0,0,218,3,6
1,0,0,0,131,3,6
0,1,0,0,235.5,3,6
1,0,0,0,108,3,6
1,0,0,0,124,3,6
1,0,0,0,86,3,6
0,1,0,0,137,3,6
1,0,0,0,111,3,6
1,0,0,0,104.5,3,6
0,1,0,0,167,3,6
0,1,0,0,234,3,6
0,1,0,0,192,3,6
0,1,0,0,247,3,6
0,1,0,0,185,4,7
0,1,0,0,261,4,7
0,0,1,0,309,4,7
0,1,0,0,225,4,7
0,0,1,0,298,4,7
0,1,0,0,241.5,4,7
0,1,0,0,230,4,7
0,1,0,0,160,4,7
0,1,0,0,264,4,7
0,1,0,0,147,4,7
0,1,0,0,158,4,7
1,0,0,0,123,4,7
0,1,0,0,207,4,7
0,1,0,0,252,4,7
0,1,0,0,144,4,7
0,0,1,0,356,4,8
0,0,1,0,341.5,4,8
0,0,1,0,381,4,8
0,0,1,0,319,4,8
0,0,1,0,325,4,8
0,1,0,0,256.5,4,8
0,0,1,0,348.5,4,8
0,0,1,0,277.5,4,8
0,0,1,0,273,5,9
0,0,1,0,295,5,9
0,0,1,0,308,5,9
0,1,0,0,260,5,9
0,0,1,0,341.5,5,9
0,0,1,0,275,5,10
0,1,0,0,256.5,5,10
0,1,0,0,249,5,10
0,0,1,0,300,5,10
0,1,0,0,251,5,10
0,0,1,0,270,5,10
0,1,0,0,219,5,10
0,0,1,0,269,6,11
0,1,0,0,198,6,11
0,0,1,0,330,6,11
0,1,0,0,248,6,11
0,1,0,0,221,6,11
0,1,0,0,180,6,11
0,1,0,0,225,6,11
0,0,1,0,327,6,11
0,0,1,0,345,6,11
0,1,0,0,245,6,11
0,0,1,0,292.5,6,11
0,0,1,0,313,6,11
0,1,0,0,151,6,11
0,0,1,0,384,6,12
0,0,1,0,397,6,12
0,0,1,0,348.5,6,12
0,0,1,0,331,6,12
0,1,0,0,222.5,6,12
0,0,1,0,372,6,12
0,0,1,0,385,6,12
0,0,1,0,392,6,12
0,0,1,0,350,6,12
0,0,1,0,355,6,12
0,1,0,0,168,6,13
1,0,0,0,132,6,13
0,1,0,0,143,6,13
0,1,0,0,175.5,6,13
1,0,0,0,128,6,13
0,0,1,0,302.5,7,14
