,,,play apm,instruction apm,Number,Literacy,Music,Visual arts,Pretend play,Spatial,Fine motor,General,,,,,,,,,,,,,,,
1,Using number arithmetic flashcards,litnum_freq_arithflashcard,0,1,X,,,,,,,,,,,,,,,,,,,,,,
2,Identifying names of written numbers,litnum_freq_idwrittennum,0,1,X,,,,,,,,,,,,,,,,,,,,,,
3,Playing with number fridge magnets,litnum_freq_nummagnet,0,0,X,,,,,,,,,,,,,,,,,,,,,,
4,Counting objects,litnum_freq_countobj,0,1,X,,,,,,,,,,,,,,,,,,,,,,
5,"Sorting things by size, color, or shape",litnum_freq_sorting,1,0,X,,,,,X,,,,,,,,,,,,,,,,,
6,"Counting down (10, 9, 8, 7,...)",litnum_freq_countdown,0,1,X,,,,,,,,,,,,,,,,,,,,,,
7,Learning simple sums (i.e. 2+2=4),litnum_freq_learnsums,0,1,X,,,,,,,,,,,,,,,,,,,,,,
8,Printing numbers,litnum_freq_printnum,0,1,X,,,,,,X,,,,,,,,,,,,,,,,
9,"Picking up sticks, objects, etc...",litnum_freq_pickupobj,1,0,,,,,,,X,,,,,,,,,,,,,,,,
10,"Movement songs (i.e., Itsy Bitsy Spider)",litnum_freq_movtsongs,0,0,,,X,,,,X,,,,,,,,,,,,,,,,
11,"Playing ""store""",litnum_freq_playstore,1,0,,,,,X,,,X,,,,,,,,,,,,,,,
12,"Coloring, painting, writing",litnum_freq_colorpaintwrite,1,0,,,,X,,,,X,,,,,,,,,,,,,,,
13,Playing musical instruments,litnum_freq_playinst,0,0,,,X,,,,X,,,,,,,,,,,,,,,,
14,"Playing ""teacher""",litnum_freq_playteach,1,0,,,,,X,,,X,,,,,,,,,,,,,,,
15,"Talking about money when shopping (e.g. ""which costs more?"")",litnum_freq_shopcosts,0,1,X,,,,,,,,,,,,,,,,,,,,,,
16,Measuring ingredients when cooking,litnum_freq_meas_ingred,0,1,X,,,,,,,,,,,,,,,,,,,,,,
17,Identifying names of written alphabet letters,litnum_freq_idwrittenletters,0,1,,X,,,,,,,,,,,,,,,,,,,,,
18,Identifying sounds of alphabet letters,litnum_freq_idsoundletters,0,1,,X,,,,,,,,,,,,,,,,,,,,,
19,Doing crafts involving scissors and glue,litnum_freq_crafts,1,0,,,,X,,,X,X,,,,,,,,,,,,,,,
20,"Putting pegs in a board or shapes into holes, playing with puzzles",litnum_freq_puzzles,1,0,,,,,,X,X,,,,,,,,,,,,,,,,
21,Being timed,litnum_freq_timed,0,1,X,,,,,,,,,,,,,,,,,,,,,,
22,Printing letters,litnum_freq_printletters,0,1,,X,,,,,X,,,,,,,,,,,,,,,,
23,Playing with calculators,litnum_freq_playcalc,0,0,X,,,,,,,,,,,,,,,,,,,,,,
24,Making collections,litnum_freq_collect,1,0,,,,,,,,,,,,,,,,,,,,,,,
25,Threading beads,litnum_freq_beads,1,0,,,,,,,X,,,,,,,,,,,,,,,,
26,"""Paint-by-number"" activities",litnum_freq_paintbynum,0,0,X,,,X,,,X,,,,,,,,,,,,,,,,
27,"Using educational software (eg. Reader Rabbit, Disney Preschool)",litnum_freq_edusoftware,0,1,,,,,,,,X,,,,,,,,,,,,,,,
28,"Building Lego or construction set (Duplo, Megablocks, etc.)",litnum_freq_lego,1,0,,,,,,X,,X,,,,,,,,,,,,,,,
29,Tying shoes,litnum_freq_tieshoe,0,0,,,,,,,X,,,,,,,,,,,,,,,,
30,"Playing with ""Playdoh"" or clay",litnum_freq_playdoh,1,0,,,,X,,X,X,,,,,,,,,,,,,,,,
