,bids_name,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr,sub,ses,task,run
0,sub-CBPD0002_ses-01_task-rest_run-01_bold,0.0075061999999999985,0.0063611601333333325,0,48.53170027523491,1.3854915346979872,1.105318393020135,0.5476338025062346,604.2111206054688,0.18982615276668305,4,2.6666666666666665,3.1005133333333337,2.791065,3.30844,3.202035,0.00861282,-0.015480754896998404,0.0501827783882618,150,96,96,75,2.3818627950122013,2.0,2.0,2.0,2.0,28.605859789675897,57.36684036254883,406.047607421875,235.6800079345703,410559.0,183.5066680908203,1365.4600341796859,529.6727905273439,1.4858177994439634,2238.323974609375,6667.64404296875,6150.29345703125,184325.0,3521.165478515625,11723.705664062498,2582.12890625,45.45509719848633,CBPD0002,1,rest,1
2,sub-CBPD0002_ses-02_task-rest_run-01_bold,0.0016766455696202534,0.0036545336708860773,0,39.074872837133775,1.3234980306369426,1.0541125080891711,0.5529544287970073,567.2886352539062,0.08158886373304719,0,0.0,3.1905349999999997,2.8656900000000003,3.4172849999999997,3.2886300000000004,0.00848724,-0.010884868912398815,0.048662129789590836,158,96,96,75,2.3184452738380332,2.0,2.0,2.0,2.0,27.76621443107087,71.55902099609375,425.70208740234375,237.79747009277344,406087.0,176.1962127685547,1451.3108154296865,535.0735473632811,0.9774800182308772,2422.328125,6491.0927734375,6057.5634765625,187495.0,3069.21787109375,11459.058886718747,2612.7626953125,52.20818328857422,CBPD0002,2,rest,1
3,sub-CBPD0002_ses-02_task-rest_run-02_bold,0.0035951633986928103,0.003727718692810458,0,39.11729778750001,1.3394497173026314,1.166352049013158,0.5537862885140142,565.2960815429688,0.08506031800729016,0,0.0,3.184848333333333,2.860925,3.41495,3.2786699999999995,0.00773638,-0.011361113749444485,0.04802743345499039,153,96,96,75,2.3217565615095475,2.0,2.0,2.0,2.0,27.213003903674913,71.87229919433594,429.86260986328125,238.7908477783203,405788.0,176.83006286621094,1474.0339599609354,543.5287475585939,0.9703708856999662,2424.58251953125,6513.31201171875,6073.728515625,187636.0,3091.8938598632812,11491.873046875,2615.998779296875,52.57938003540039,CBPD0002,2,rest,2
4,sub-CBPD0007_ses-01_task-rest_run-01_bold,0.06443615384615384,0.03256307076923077,0,111.37736606500003,1.54898269,1.4901818683333332,0.4979945994908202,655.703125,1.4535782508962036,5,38.46153846153846,3.206741734400396,2.893765,3.4091502032011873,3.31731,0.0283882,-0.008621296845376492,0.026755893602967262,13,96,96,75,2.701359811600592,2.0,2.0,1.9999998807907104,2.0,45.62484770862629,40.25834274291992,296.7471923828125,199.53846740722656,462841.0,159.7692413330078,830.1538696289062,341.3519287109375,1.07654798497959,1702.59716796875,5738.0107421875,5358.84619140625,140663.0,3274.154052734375,9607.515917968747,1983.751708984375,20.29574584960937,CBPD0007,1,rest,1
5,sub-CBPD0007_ses-01_task-rest_run-02_bold,0.04155,0.020232019545454547,0,81.68552159655171,1.5209632531034485,1.315344702873563,0.5006054465753238,645.8607788085938,0.9098033728574184,21,23.863636363636363,3.237205,2.9403,3.407835,3.3634800000000005,0.031761700000000004,-0.012307211756706238,0.0272911973297596,88,96,96,75,2.5498653966360667,2.0,2.0,2.0,2.0,39.175874326508016,41.293853759765625,315.72064208984375,202.2386474609375,459969.0,165.375,947.6954833984367,377.0836181640625,1.0791908695625951,1825.488037109375,5829.81396484375,5398.59130859375,142779.0,3247.48876953125,9974.6412109375,2117.198974609375,22.433574676513672,CBPD0007,1,rest,2
7,sub-CBPD0009_ses-01_task-rest_run-01_bold,0.027328200000000004,0.04299587506666666,0,127.5078059713423,1.4568810809395976,1.268678195302013,0.5393325457566248,562.73681640625,2.2421998502642437,82,54.66666666666666,3.394823333333333,3.00035,3.5605849999999997,3.623535,0.0287735,-0.0007752458332106472,0.028358303010463718,150,96,96,75,2.546748904187147,2.0,2.0,2.0,2.0,29.576356648998622,61.23147583007813,340.99749755859375,222.9733428955078,420790.0,164.5,1003.9407012939453,368.47265625,0.4153206348053531,2043.7476806640625,5893.6337890625,5568.16015625,176751.0,2952.110107421875,10042.7900390625,2186.37353515625,14.003053665161133,CBPD0009,1,rest,1
8,sub-CBPD0009_ses-01_task-rest_run-02_bold,0.03242725,0.07405904083333331,0,184.46861640554627,1.421556931764706,1.2866177031092445,0.5585149063110402,671.23583984375,6.491081223176247,99,82.5,3.0137,2.594173333333333,3.176683333333333,3.270243333333333,0.042064300000000006,0.004075778648257256,0.025522571057081226,120,64,64,36,2.6221668452675355,2.5,3.0,3.0,3.0,66.7847852306762,43.847957611083984,243.3699188232422,206.57501220703125,71839.0,91.13833694458008,471.5116943359372,151.33065795898438,0.3272737179548506,2045.311279296875,6090.14453125,5730.9501953125,43657.0,3177.676904296876,10293.68046875,2185.552978515625,10.397260665893556,CBPD0009,1,rest,2
9,sub-CBPD0012_ses-01_task-rest_run-01_bold,0.0139994,0.0144747672,0,61.4834904252349,1.3380929961744958,1.0649294173825503,0.5082359304357724,684.1524047851562,0.34838811438548817,6,4.0,3.1553083333333336,2.85962,3.291975,3.3143300000000004,0.011691799999999999,-0.00855554174631834,0.0409214124083519,150,96,96,75,2.4291608252025454,2.0,2.0,2.0,2.0,48.44968793916493,43.578609466552734,314.7242431640625,205.27999877929688,444994.0,165.73333740234375,843.2703247070293,409.7870788574219,2.643396814737509,1787.05908203125,6153.07470703125,5643.89990234375,155701.0,3470.400146484375,10790.3134765625,2323.387451171875,29.62021827697754,CBPD0012,1,rest,1
11,sub-CBPD0015_ses-01_task-rest_run-01_bold,0.0189134,0.012543375866666666,0,55.0421334465772,1.3808064676510063,1.1650344928859058,0.52158573922164,699.2319946289062,0.43356904033581,12,8.0,3.134243466007519,2.72502,3.4045202029252177,3.2731901950973388,0.030238499999999998,-0.012074423022568226,0.04881327226758003,150,96,96,75,2.5727555381068834,2.0,2.0,1.9999998807907104,1.9999998807907104,42.69893168403309,44.98214721679688,350.1065368652344,211.4600067138672,434641.0,169.3800048828125,1000.106689453125,493.5845642089844,0.961882785075232,2022.0421142578125,6332.03759765625,5906.0,164623.0,3461.002001953125,10870.693652343747,2295.586181640625,30.745887756347656,CBPD0015,1,rest,1
13,sub-CBPD0018_ses-01_task-rest_run-01_bold,0.006156466666666667,0.015486773066666666,0,76.15648438630875,1.2622382559731546,1.0255178412080541,0.5324310584137318,575.3916015625,0.8170898584165989,43,28.66666666666667,3.4091699999999996,3.115745,3.5703,3.541465,0.032843800000000006,0.010291396640241146,0.0312972292304039,150,96,96,75,2.2143852294050443,2.0,2.0,2.0,2.0,24.669030494177925,92.5934600830078,456.0216979980469,254.8000030517578,426733.0,174.7066650390625,1537.814721679687,588.8683471679688,0.9300947001204064,2578.27490234375,7059.615234375,6494.353515625,170873.0,3269.260156250001,12788.84140625,2932.79345703125,26.69792938232422,CBPD0018,1,rest,1
