Code,TimePoint,Gender,Age,Pedagogy,siblings,tv_time,video_games,reading_score,playing_outside,playing_outside_friends,music,extracurricular_activities,fluid_intelligence,SES,,,,
sub-018,1,M,7.83,M,1,1,,,,,0,1,35,2.5,,,,
sub-022,1,M,11.17,M,0,0,,,,,0,1,36,3,,,,
sub-023,1,M,6.17,M,1,2,,,,,0,1,23,3,,,,
sub-027,1,M,7.83,M,1,1,,,,,0,1,35,2,,,,
sub-045,1,M,7,T,1,2,,,,,1,1,35,4,,,,
sub-048,1,F,12.08,T,2,1,,,,,1,1,34,2.5,,,,
sub-051,1,F,11.83,M,1,1,,,,,1,1,36,3,,,,
sub-052,1,F,6.25,M,1,1,,,,,1,1,32,3,,,,
sub-053,1,M,12.08,M,0,1,,,,,0,1,31,2.25,,,,
sub-054,1,M,10.58,M,2,1,,,,,1,1,35,2.75,,,,
sub-055,1,M,8.75,M,2,1,,,,,1,1,34,2.75,,,,
sub-056,1,M,5.75,M,2,1,,,,,1,1,29,2.75,,,,
sub-058,1,F,10.17,M,0,1,,,,,1,1,35,2.75,,,,
sub-066,1,F,7.83,M,1,1,,,,,1,1,34,2.75,,,,
sub-067,1,F,14.58,M,2,1,,,,,0,1,35,2.25,,,,
sub-2001,1,M,7.2,M,1,1,,85,NA,1,0,1,35,3.75,,,,
sub-2002,1,F,8.42,M,0,1,,,,,1,1,35,3,,,,
sub-2003,1,F,9.3,T,1,1,,98,6,0,0,1,32,3.25,,,,
sub-2004,1,M,9.3,T,0,0,,95,3,1,0,1,32,2.75,,,,
sub-2005,1,M,7.92,T,2,1,,,,,0,1,35,4,,,,
sub-2006,2,M,8.4,M,2,1,0.3,61,7,1,1,1,23,4,,,,
sub-2007,1,F,9.75,T,2,1,,,,,0,1,30,4,,,,
sub-2008,1,F,5,M,1,1,,94,6.5,1,0,1,23,3.75,,,,
sub-2009,1,F,8.0,T,1,1,,78,6,1,0,1,34,3.25,,,,
sub-2011,1,F,6.8,T,2,1,,80,NA (22h),1,1,1,25,3.75,,,,
sub-2013,2,M,10.5,T,3,2,0.3,55,7,1,0,1,31,2.75,,,,
sub-2014,1,M,14.7,T,3,2,0.3,50,2,1,0,0,34,2.75,,,,
