Participants,RESTING STATE,,,,
,DVARS,max,FD,max,signal quality
sub-018,1.056,4.825,0.766,12.422,medium
sub-022,1.058,3.461,0.345,3.782,good
sub-023,1.213,4.461,0.407,5.75,good
sub-027,1.163,1.997,0.12,0.894,good
sub-028,1.167,5.664,1.161,22.931,medium
sub-045,1.085,2.817,0.4,2.812,good
sub-048,1.081,3.598,0,3.357,good
sub-051,1.042,4.703,0,14.673,good
sub-052,1.176,4.727,0,12.932,good
sub-053,1.028,4.106,1.364,17.675,good
sub-054,1.047,3.596,0.624,7.048,medium
sub-055,1.138,3.332,0.251,3.565,good
sub-056,1.093,5.866,0.308,11.381,good
sub-058,1.117,1.873,0.107,0.706,good
sub-066,1.096,3.907,0.264,3.925,good
sub-067,1.041,1.819,0.059,0.393,good
Sub-2001,1.399,2.516,0.173,1.25,good
Sub-2002,1.004,3.893,0.863,15,medium
Sub-2005,1.154,5.179,1.044,15.542,medium
Sub-2006,1.101,1.769,0.155,1.263,good
Sub-2007,1.098,4.628,0.684,9.361,medium
Sub-2008,1.165,4.349,0.322,5.321,good
Sub-2009,1.109,3.915,0.241,1.569,good
Sub-2011,1.063,1.33,0.159,0.493,good
Sub-2013,1.066,1.191,0.11,0.29,good
Sub-2014,1.065,1.914,0.114,0.515,good
Sub-2015,1.15,1.654,0.081,0.378,good
Sub-2016,1.075,2.843,0.191,7.118,good
Sub-2017,1.072,2.649,0.412,4.353,good
Sub-2018,1.223,2.703,0.306,3.83,good
Sub-2019,1.168,1.83,0.175,0.681,good
Sub-2020,1.058,5.206,0.51,14.451,medium
Sub-2022,1.216,3.382,0.251,3.465,good
Sub-2023,0.973,2.515,0.155,1.634,good
Sub-2024,1.016,5.491,0.24,7.857,medium
Sub-2028,1.202,2.707,0.103,1.163,good
Sub-2030,1.024,3.679,0.428,5.358,medium
Sub-2031,1.194,4.305,2.336,23.883,medium
Sub-2032,1.105,2.841,0.168,2.579,good
Sub-2033,1.072,6.494,0.401,14.127,good
Sub-2034,1.059,3.429,0.262,3.484,good
Sub-2035,1.056,2.657,0.163,3.456,good
Sub-2036,1.256,4.843,1.153,16.099,medium
Sub-2037,1.03,4.001,0.323,4.021,good
Sub-2038,1.029,3.004,0.346,3.468,good
Sub-2039,1.06,3.166,0.206,3.865,good
Sub-2040,1.144,1.53,0.121,0.403,good
Sub-2041,1.034,1.414,0.09,0.544,good
Sub-2042,1.444,8.789,2.419,111.429,bad
Sub-2044,1.106,1.809,0.068,0.457,good
Sub-2045,1.081,3.599,0.278,2.869,good
Sub-2046,1.045,1.637,0.078,0.391,good
Sub-2047,1.072,3.621,0,3.362,good
Sub-2051,1.112,4.995,0.284,3.398,medium
Sub-2052,1.093,2.042,0.091,0.643,good
Sub-2053,1.103,3.932,2.169,30.645,bad
Sub-2055,1.235,5.263,0.16,4.742,good
Sub-2056,0.962,7.405,1.737,89.347,medium
Sub-2057,1.081,1.577,0.116,0.555,good
Sub-2058,1.079,5.907,0.442,15.296,medium
Sub-2060,1.102,1.905,0.205,0.985,good
Sub-2061,1.101,1.311,0.162,0.404,good
Sub-2062,1.124,1.487,0.099,0.544,good
Sub-2064,0.982,5.298,2.109,27.691,Medium/bad
Sub-2065,1.02,4.273,0.149,2.897,good
Sub-2066,1.106,1.645,0.124,0.493,good
Sub-2068,1.103,2.187,0.16,1.206,good
Sub-2069,1.189,3.682,0.346,5.054,good
Sub-2070,1.211,5.557,1.092,18.607,medium
Sub-2071,1.029,4.53,0,7.8,good
Sub-2073,1.138,3.153,0.094,0.995,good
Sub-2075,1.052,1.61,0.116,0.36,good
Sub-2076,1.118,5.158,0.928,19.81,medium
Sub-2077,1.09,3.033,0.249,2.402,good
Sub-2078,1.151,3.965,0,9.525,medium
Sub-2079,1.081,3.392,0.213,3.633,good
Sub-2081,1.124,1.347,0.067,0.213,good
Sub-2082,1.25,1.586,0.086,0.443,good
Sub-2083,1.175,1.565,0.08,0.414,good
Sub-2084,1.128,6.426,0.475,18.037,medium
Sub-2086,1.065,1.95,0.134,1.027,good
Sub-2088,1.172,1.471,0.111,0.46,good
Sub-2089,1.188,2.149,0.131,0.895,good
Sub-2090,1.086,2.307,0.377,2.3,good
Sub-2003,1.139,2.273,0.15,1.877,good
Sub-2004,1.057,2.697,0.313,4.715,good
Sub-2026,1.105,4.059,1.108,9.687,medium ??
Sub-2027,1.188,3.122,0.248,2.968,good
Sub-2050,1.077,3.139,0.106,1.102,good
